,from,to,weight
0,กง ฉือเอิน,หลี เหม่ยเสียน,1
1,กง ฉือเอิน,เติ้ง ชุ่ยเหวิน,1
2,กง ฉือเอิน,เส้า เหม่ยฉี,1
3,กง ฉือเอิน,โจว ไห่เม่ย,1
4,กชกร นิมากรณ์,ศรราม เทพพิทักษ์,1
5,กชกร นิมากรณ์,สุวนันท์ คงยิ่ง,1
6,กณิณ ปัทมนันถ์,ศุภชัย ศรีวิจิตร,1
7,กนิษฐ์ สารสิน,ถกลเกียรติ วีรวรรณ,1
8,กนิษฐ์ สารสิน,ธงธง มกจ๊ก,2
9,กมล สุโกศล แคลปป์,กฤษดา สุโกศล แคลปป์,2
10,กมล สุโกศล แคลปป์,ริค วชิรปิลันธิ์,1
11,กมลชนก เขมะโยธิน,นุติ เขมะโยธิน,6
12,กมลชนก เขมะโยธิน,น้ำฝน โกมลฐิติ,2
13,กมลวรรณ ศรีวิไล,กรุง ศรีวิไล,2
14,กมลวรรณ ศรีวิไล,จินตหรา สุขพัฒน์,1
15,กมลเนตร เรืองศรี,ณัฐสิทธิ์ โกฏิมนัสวนิชย์,1
16,กรกมล เจริญชัย,มนต์แคน แก่นคูน,1
17,กรภัทร์ เกิดพันธุ์,กัญญาวีร์ สองเมือง,1
18,กรภัทร์ เกิดพันธุ์,คุณากร เกิดพันธุ์,3
19,กรภัทร์ เกิดพันธุ์,เบญจพล เชยอรุณ,1
20,กรภัสสรณ์ รัตนเมธานนท์,สุรัตนาวี สุวิพร,3
21,กรรชัย กำเนิดพลอย,กฤตธีรา อินพรวิจิตร,2
22,กรรชัย กำเนิดพลอย,คชาภา ตันเจริญ,2
23,กรรชัย กำเนิดพลอย,ซินดี้ เบอร์บริดจ์,2
24,กรรชัย กำเนิดพลอย,ตรีรัก รักการดี,2
25,กรรชัย กำเนิดพลอย,ภัคจีรา วรรณสุทธิ์,2
26,กรรชัย กำเนิดพลอย,อติมา ธนเสนีวัฒน์,2
27,กรรชัย กำเนิดพลอย,เจนสุดา ปานโต,2
28,กรรชัย กำเนิดพลอย,เมย์ เฟื่องอารมย์,8
29,กรรณาภรณ์ พวงทอง,จีรนันท์ มะโนแจ่ม,1
30,กรรณาภรณ์ พวงทอง,ธาราเขต เพ็ชร์สุกใส,1
31,กรรณาภรณ์ พวงทอง,เขตต์ ฐานทัพ,1
32,กรุง ศรีวิไล,กมลวรรณ ศรีวิไล,4
33,กรุง ศรีวิไล,ทัศน์วรรณ เสนีย์วงศ์,2
34,กรุง ศรีวิไล,นที สุทินเผือก,2
35,กรุง ศรีวิไล,อรัญญา นามวงศ์,2
36,กรุง ศรีวิไล,เนาวรัตน์ ยุกตะนันทน์,2
37,กรุง ศรีวิไล,เพชรา เชาวราษฎร์,2
38,กรุณ ซอโสตถิกุล,กาญจน์เกล้า ด้วยเศียรเกล้า,2
39,กรุณ ซอโสตถิกุล,ชีรณัฐ ยูสานนท์,2
40,กรุณ ซอโสตถิกุล,นิดา พัชรวีระพงษ์,2
41,กฤชกนก สวยสด,น้ำชา ชีรณัฐ,1
42,กฤชกนก สวยสด,มารี เออเจนี เลอเลย์,2
43,กฤตฤทธิ์ บุตรพรม,กาญจน์เกล้า ด้วยเศียรเกล้า,4
44,กฤตฤทธิ์ บุตรพรม,ทัศนียา การสมนุช,4
45,กฤตฤทธิ์ บุตรพรม,ธันวา สุริยจักร,2
46,กฤตฤทธิ์ บุตรพรม,ธาวิน เยาวพลกุล,2
47,กฤตฤทธิ์ บุตรพรม,ปาณิชดา แสงสุวรรณ,2
48,กฤตฤทธิ์ บุตรพรม,ฝนทิพย์ วัชรตระกูล,2
49,กฤตฤทธิ์ บุตรพรม,พิมประภา ตั้งประภาพร,4
50,กฤตฤทธิ์ บุตรพรม,ภัทรเดช สงวนความดี,2
51,กฤตฤทธิ์ บุตรพรม,มิกค์ ทองระย้า,6
52,กฤตฤทธิ์ บุตรพรม,วงศกร ปรมัตถากร,2
53,กฤตฤทธิ์ บุตรพรม,ศรัณย์ ศิริลักษณ์,4
54,กฤตฤทธิ์ บุตรพรม,ศิวัฒน์ โชติชัยชรินทร์,4
55,กฤตฤทธิ์ บุตรพรม,ศุกลวัฒน์ คณารศ,2
56,กฤตฤทธิ์ บุตรพรม,อคัมย์สิริ สุวรรณศุข,2
57,กฤตฤทธิ์ บุตรพรม,อรรคพันธ์ นะมาตร์,2
58,กฤตฤทธิ์ บุตรพรม,อัษฎาพร สิริวัฒน์ธนกุล,2
59,กฤษฎา พรเวโรจน์,คิมเบอร์ลี แอน เทียมศิริ,1
60,กฤษฎา พรเวโรจน์,พงษ์พัฒน์ วชิรบรรจง,1
61,กฤษฎา พรเวโรจน์,หทัยรัตน์ อมตะวณิชย์,1
62,กฤษณภูมิ พิบูลสงคราม,กัญญาวีร์ สองเมือง,1
63,กฤษณภูมิ พิบูลสงคราม,ชูเกียรติ ศักดิ์วีระกุล,1
64,กฤษณ์ ศรีภูมิเศรษฐ์,ซาร่า ผุงประเสริฐ,1
65,กฤษดา สุโกศล แคลปป์,กมล สุโกศล แคลปป์,1
66,กลศ อัทธเสรี,ชนานา นุตาคม,1
67,กลศ อัทธเสรี,อริสรา กำธรเจริญ,1
68,กลศ อัทธเสรี,ไปรมา รัชตะ,1
69,กล้วย เชิญยิ้ม,ต๋อง ชวนชื่น,1
70,กล้วย เชิญยิ้ม,สมเจต พยัฆโส,1
71,กวิตา จินดาวัฒน์,กาญจนา จินดาวัฒน์,2
72,กวินตรา โพธิจักร,ชุติมา ดุรงค์เดช,2
73,กวินตรา โพธิจักร,ฟ้ารุ่ง ยุติธรรม,2
74,กวินนา สุวรรณประทีป,จักรกฤษณ์ อำมะรัตน์,1
75,กวินนา สุวรรณประทีป,ตระการ พันธุมเลิศรุจี,1
76,กวินนา สุวรรณประทีป,นฤเบศร์ จินปิ่นเพชร,1
77,กวินนา สุวรรณประทีป,บดินทร์ ดุ๊ก,1
78,กวินนา สุวรรณประทีป,วิทิต แลต,1
79,กวินนา สุวรรณประทีป,ศิตา เมธาวี,1
80,กวินนา สุวรรณประทีป,สันติสุข พรหมศิริ,1
81,กวินนา สุวรรณประทีป,อัษฎาวุธ เหลืองสุนทร,1
82,กวินรัฏฐ์ ยศอมรสุนทร,ชาตโยดม หิรัญยัษฐิติ,1
83,กวินรัฏฐ์ ยศอมรสุนทร,ดารณีนุช ปสุตนาวิน,1
84,กวินรัฏฐ์ ยศอมรสุนทร,พุทธชาติ พงษ์สุชาติ,2
85,กวินรัฏฐ์ ยศอมรสุนทร,มยุรา เศวตศิลา,1
86,กวินเน็ธ พัลโทรว์,แบรด พิตต์,1
87,กังสดาล สุขแก้ว,นิรัตติศัย กัลย์จาฤก,1
88,กัญจน์ ภักดีวิจิตร,ฉลอง ภักดีวิจิตร,2
89,กัญญา รัตนเพชร์,พจน์ อานนท์,1
90,กัญญา ลีนุตพงษ์,คัทลียา แมคอินทอช,1
91,กัญญา ลีนุตพงษ์,ณวัฒน์ กุลรัตนรักษ์,1
92,กัญญารัตน์ พงศ์กัมปนาท,อัษฎาวุธ เหลืองสุนทร,1
93,กัญญาวีร์ สองเมือง,กฤษณภูมิ พิบูลสงคราม,1
94,กัญญาวีร์ สองเมือง,นฤภรกมล ฉายแสง,1
95,กันตพงศ์ บำรุงรักษ์,กรรณาภรณ์ พวงทอง,1
96,กันตพงศ์ บำรุงรักษ์,อัษฎาพร สิริวัฒน์ธนกุล,1
97,กันตา ดานาว,ทูน หิรัญทรัพย์,1
98,กันต์ กันตถาวร,คะนึงนิจ จักรสมิทธานนท์,2
99,กันต์ กันตถาวร,พัชราภา ไชยเชื้อ,1
100,กันต์ กันตถาวร,พัชริดา วัฒนา,1
101,กันต์ กันตถาวร,ภัครมัย โปตระนันทน์,1
102,กันต์ กันตถาวร,รังสรรค์ ปัญญาเรือน,1
103,กันต์ กันตถาวร,ราศรี บาเล็นซิเอก้า จิราธิวัฒน์,1
104,กันต์ กันตถาวร,สมเกียรติ จันทร์พราหมณ์,1
105,กันต์ ชุณหวัตร,ศนันธฉัตร ธนพัฒน์พิศาล,1
106,กันต์ ชุณหวัตร,เสฎฐวุฒิ อนุสิทธิ์,1
107,กันยรินทร์ นิธินพรัศม์,ชิดจันทร์ ห่ง,1
108,กันยรินทร์ นิธินพรัศม์,สุชาร์ มานะยิ่ง,1
109,กันยรินทร์ นิธินพรัศม์,เจสสิกา ภาสะพันธุ์,1
110,กัมมัญญ์ กลมแก้ว,เขมนิจ จามิกรณ์,1
111,กัลยา เลิศเกษมทรัพย์,ธเนศ วรากุลนุเคราะห์,1
112,กัลยา เลิศเกษมทรัพย์,ศักดิ์สิทธิ์ แท่งทอง,1
113,กัลยา เลิศเกษมทรัพย์,สหรัถ สังคปรีชา,1
114,กัลย์กมล จิรชัยศักดิ์เดชา,กัลยา จิรชัยศักดิ์เดชา,4
115,กัลย์กมล จิรชัยศักดิ์เดชา,ณวัฒน์ กุลรัตนรักษ์,2
116,กัลย์กมล จิรชัยศักดิ์เดชา,พิมพ์มาดา บริรักษ์ศุภกร,2
117,กัลย์กมล จิรชัยศักดิ์เดชา,เบญจณัฏฐ์ อักษรนันทน์,2
118,กัว ฟู่เฉิง,หลิว เต๋อหัว,2
119,กัว ฟู่เฉิง,เจิ้ง อี้เจี้ยน,2
120,กัส แวน แซงต์,เคียนู รีฟส์,2
121,กาญจนา จินดาวัฒน์,กวิตา รอดเกิด,1
122,กาญจน์เกล้า ด้วยเศียรเกล้า,กฤตฤทธิ์ บุตรพรม,1
123,กาญจน์เกล้า ด้วยเศียรเกล้า,ฑิฆัมพร ฤทธิ์ธาอภินันท์,1
124,กาญจน์เกล้า ด้วยเศียรเกล้า,ทัศนียา การสมนุช,1
125,กาญจน์เกล้า ด้วยเศียรเกล้า,ธาวิน เยาวพลกุล,1
126,กาญจน์เกล้า ด้วยเศียรเกล้า,พิชญา เชาวลิต,1
127,กาญจน์เกล้า ด้วยเศียรเกล้า,พิมประภา ตั้งประภาพร,1
128,กาญจน์เกล้า ด้วยเศียรเกล้า,มิกค์ ทองระย้า,1
129,กาญจน์เกล้า ด้วยเศียรเกล้า,วงศกร ปรมัตถากร,1
130,กาญจน์เกล้า ด้วยเศียรเกล้า,ศิวัฒน์ โชติชัยชรินทร์,1
131,กาญจน์เกล้า ด้วยเศียรเกล้า,อธิชนัน ศรีเสวก,1
132,การิน ศตายุ,เวธกา ศิริวัฒนา,3
133,กิตตน์ก้อง ขำกฤษ,ณัฐชา นวลแจ่ม,2
134,กิตตน์ก้อง ขำกฤษ,ดราภดา โสตถิพิทักษ์,2
135,กิตตน์ก้อง ขำกฤษ,ธัญญะสุภางค์ จิรปรีชานนท์,2
136,กิตตน์ก้อง ขำกฤษ,ศรัณย์ ศิริลักษณ์,2
137,กิตตน์ก้อง ขำกฤษ,อาภา ภาวิไล,2
138,กิตติ เชี่ยววงศ์กุล,ชาคริต แย้มนาม,1
139,กิตติ เชี่ยววงศ์กุล,ณวัฒน์ กุลรัตนรักษ์,1
140,กิตติ เชี่ยววงศ์กุล,พัสกร พลบูรณ์,1
141,กิตติ เชี่ยววงศ์กุล,ศักดิ์สิทธิ์ แท่งทอง,1
142,กิตติ เชี่ยววงศ์กุล,อลิสา ขุนแขวง,1
143,กิตติ เชี่ยววงศ์กุล,อารักษ์ อมรศุภศิริ,1
144,กิตติ เชี่ยววงศ์กุล,อู๊ด เป็นต่อ,2
145,กิตติ เชี่ยววงศ์กุล,เจี๊ยบ เชิญยิ้ม,2
